county,precinct,asian,black,white,latino,native,other
53,1,1,3,312,392,,4
53,2,3,3,479,202,,9
53,3,10,6,697,312,,5
53,4,,1,110,209,,4
53,5,3,,114,302,,7
53,6,,1,201,329,,2
53,7,,,43,90,,
53,8,2,4,471,465,,5
53,9,,6,42,27,,
53,10,,1,56,116,,
53,11,4,34,368,278,,4
53,12,,2,18,,,
53,13,,9,388,167,,8
53,14,1,12,297,101,,2
53,15,1,51,258,809,,1
53,16,,2,29,6,,1
53,17,,,62,56,,
53,18,,5,330,432,,5
53,19,1,26,278,201,,9
53,20,,13,159,162,,1
53,21,,1,5,4,,
53,22,1,5,67,21,,
53,23,,1,87,65,,
53,24,2,8,157,126,,5
53,25,,4,57,93,,5
53,26,,,8,,,
53,27,3,22,327,360,,5